artist,artist_id,track,composer,piece_path,youtube_link,album,album_date(yyyy-mm-dd),performer_label
Robert Casadesus,21,"French Suite No. 6 in E Major, BWV 817: II. Courante",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\French_Suite_No.6_in_E,_BWV_817\2._Courante\7.mp3",https://www.youtube.com/watch?v=xUltchJDPM0,Bach: Concerto for 3 Keyboards & French Suite No. 6,1951,16
Vladimir Horowitz,2,"Piano Sonata No. 2 in B-Flat Minor, Op. 36: II. Non allegro - Lento - Più mosso",Sergei Rachmaninoff,".\audio\Sergei_Rachmaninoff\Piano_Sonata_No._2_in_B-Flat_Minor,_Op._36_-_1913_Version\2._Non_allegro_-_Lento\1.mp3",https://www.youtube.com/watch?v=gR-CyrzARw8,Rachmaninoff Piano Concerto No. 3 & Piano Sonata No. 2: Classic Library Series,2004-04-16,20
Mitsuko Uchida,26,"Piano Sonata No.18 in D, K.576: 3. Allegretto",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Piano_Sonata_No.18_in_D,_K.576\1._Allegro\41.mp3",https://www.youtube.com/watch?v=N_sk84dNs74,"Mozart: Piano Sonatas Nos. 1, 14 & 18; Fantasia In C Minor",1985-01-01,13
Wilhelm Kempff,28,"Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": III. Allegro ma non troppo",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._23_in_F_Minor,_Op._57_Appassionata\III._Allegro_ma_non_troppo_-_Presto\67.mp3",https://www.youtube.com/watch?v=1vpNJLxG3iU,Beethoven: Sonatas Nos. 20 - 26,2019-09-13,22
Vladimir Ashkenazy,6,"24 Préludes, Op. 28: No. 5 in D Major: Molto allegro",Frédéric Chopin,".\audio\Frédéric_Chopin\24_Préludes,_Op._28\No._5_in_D_Major_Molto_allegro\3.mp3",https://www.youtube.com/watch?v=zO1O0bX_aIM,"Chopin: Preludes, Op.28; Piano Sonata No.3",1993-10-04,19
Samson François,48,"Chopin: 24 Preludes, Op. 28: No. 20 in C Minor",Frédéric Chopin,".\audio\Frédéric_Chopin\24_Préludes,_Op._28\No._20_in_C_Minor_Largo\44.mp3",https://www.youtube.com/watch?v=ae7S6EV1U7k,Icon: Samson Francois,2010-02-08,17
Maurizio Pollini,5,"Piano Sonata No. 19 in C Minor, D. 958: III. Menuetto (Allegro)",Franz Schubert,".\audio\Franz_Schubert\Piano_Sonata_No.19_in_C_minor,_D.958\3._Menuetto_(Allegro)\8.mp3",https://www.youtube.com/watch?v=TTwmLbNmU24,Deep Dive - Pollini,2022-02-18,12
Robert Casadesus,21,"Sonatine, M. 40: I. Modéré",Maurice Ravel,".\audio\Maurice_Ravel\Sonatine,_M._40\I._Modéré\10.mp3",https://www.youtube.com/watch?v=FMIznPZkY0E,Robert Casadesus - The Early Recordings (Remastered),1940,16
Samson François,48,"Chopin: Scherzo No. 3 in C-Sharp Minor, Op. 39",Frédéric Chopin,".\audio\Frédéric_Chopin\Scherzo_No._3_in_C-Sharp_Minor,_Op._39,_B._125\38.mp3",https://www.youtube.com/watch?v=8WO9BUKyJMc,Icon: Samson Francois,2010-02-08,17
Sviatoslav Richter,0,"Prelude, Op. 28: No. 10 in C-Sharp Minor",Frédéric Chopin,".\audio\Frédéric_Chopin\Prelude,_Op._28\No._10_in_C-Sharp_Minor\4.mp3",https://www.youtube.com/watch?v=87AgWR0Ksuo,Richter plays Schumann & Chopin,1979,18
Sviatoslav Richter,0,"Keyboard Sonata in D Minor, BWV 964: II. Fugue. Allegro",Johann Sebastian Bach,".\audio\Johann_Sebastian_Bach\Keyboard_Sonata_in_D_Minor,_BWV_964\II._Fuga._Allegro\1.mp3",https://www.youtube.com/watch?v=wJ5UTYjrHTY,Richter Plays Bach,2008-08-25,18
Wilhelm Kempff,28,"Piano Sonata No. 23 in F Minor, Op. 57 ""Appassionata"": I. Allegro assai",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\Piano_Sonata_No._23_in_F_Minor,_Op._57_Appassionata\I._Allegro_assai\117.mp3",https://www.youtube.com/watch?v=rbG-Ym7_snc,Beethoven: The Piano Sonatas,1995-01-01,22
Alicia de Larrocha,18,"Piano Sonata No. 13 in A Major, D. 664: 3. Allegro",Franz Schubert,".\audio\Franz_Schubert\Piano_Sonata_No.13_in_A,_D.664\3._Allegro\21.mp3",https://www.youtube.com/watch?v=TfqArIguaNw,Schumann: Carnaval / Schubert: Piano Sonata No. 13; Impromptu in A Flat Major,1980-02-05,2
Alfred Brendel,19,"33 Piano Variations In C, Op. 120 On A Waltz By Anton Diabelli: Variation XXXIII (Tempo di minuetto moderato, ma non tirarsi dietro) - Live",Ludwig van Beethoven,".\audio\Ludwig_van_Beethoven\33_Piano_Variations_In_C,_Op._120_On_A_Waltz_By_Anton_Diabelli\Variation_XXXIII._Tempo_di_minuetto_moderato,_ma_non_tirarsi_dietro\10.mp3",https://www.youtube.com/watch?v=GzBkEPLOcas,Beethoven: Great Pianists of the 20th Century Vol.13,1999-01-01,0
Mitsuko Uchida,26,"Piano Sonata No. 11 in A Major, K. 331: 2. Menuetto",Wolfgang Amadeus Mozart,".\audio\Wolfgang_Amadeus_Mozart\Piano_Sonata_No._11_in_A_Major,_K._331\2._Menuetto\20.mp3",https://www.youtube.com/watch?v=lq15x03n3S0,"Mozart: The Piano Sonatas, Vol.2 (Complete Mozart Edition)",2005-01-01,13
